Date:1406937600 Price:591.59
Date:1407024000 Price:589.79
Date:1407110400 Price:593.94
Date:1407196800 Price:580.21
Date:1407283200 Price:581.60
Date:1407369600 Price:587.24
Date:1407456000 Price:589.30
Date:1407542400 Price:588.61
Date:1407628800 Price:588.99
Date:1407715200 Price:578.97
Date:1407801600 Price:569.54
Date:1407888000 Price:550.14
Date:1407974400 Price:521.66
Date:1408060800 Price:498.16
Date:1408147200 Price:509.00
Date:1408233600 Price:491.88
Date:1408320000 Price:468.19
Date:1408406400 Price:487.50
Date:1408492800 Price:507.30
Date:1408579200 Price:525.78
Date:1408665600 Price:518.25
Date:1408752000 Price:503.88
Date:1408838400 Price:510.75
Date:1408924800 Price:503.79
Date:1409011200 Price:512.79
Date:1409097600 Price:514.84
Date:1409184000 Price:509.39
Date:1409270400 Price:511.99
Date:1409356800 Price:503.88
Date:1409443200 Price:477.98
Date:1409529600 Price:482.59
Date:1409616000 Price:483.65
Date:1409702400 Price:472.76
Date:1409788800 Price:486.00
Date:1409875200 Price:485.91
Date:1409961600 Price:481.09
Date:1410048000 Price:480.62
Date:1410134400 Price:476.61
Date:1410220800 Price:466.48
Date:1410307200 Price:485.03
Date:1410393600 Price:469.00
Date:1410480000 Price:470.43
Date:1410566400 Price:479.86
Date:1410652800 Price:475.49
Date:1410739200 Price:475.30
Date:1410825600 Price:468.00
Date:1410912000 Price:448.00
Date:1410998400 Price:428.19
Date:1411084800 Price:398.89
Date:1411171200 Price:415.56
Date:1411257600 Price:406.30
Date:1411344000 Price:400.98
Date:1411430400 Price:423.00
Date:1411516800 Price:431.91
Date:1411603200 Price:408.08
Date:1411689600 Price:405.14
Date:1411776000 Price:400.74
Date:1411862400 Price:380.00
Date:1411948800 Price:381.94
Date:1412035200 Price:382.67
Date:1412121600 Price:385.27
Date:1412208000 Price:375.85
Date:1412294400 Price:363.75
Date:1412380800 Price:336.00
Date:1412467200 Price:293.67
Date:1412553600 Price:331.20
Date:1412640000 Price:330.70
Date:1412726400 Price:346.26
Date:1412812800 Price:378.94
Date:1412899200 Price:358.97
Date:1412985600 Price:359.99
Date:1413072000 Price:364.83
Date:1413158400 Price:381.46
Date:1413244800 Price:411.89
Date:1413331200 Price:394.00
Date:1413417600 Price:378.02
Date:1413504000 Price:382.83
Date:1413590400 Price:389.68
Date:1413676800 Price:388.99
Date:1413763200 Price:384.95
Date:1413849600 Price:387.00
Date:1413936000 Price:385.10
Date:1414022400 Price:363.99
Date:1414108800 Price:358.46
Date:1414195200 Price:348.89
Date:1414281600 Price:355.43
Date:1414368000 Price:356.50
Date:1414454400 Price:354.94
Date:1414540800 Price:343.53
Date:1414627200 Price:337.00
Date:1414713600 Price:340.95
Date:1414800000 Price:327.39
Date:1414886400 Price:326.41
Date:1414972800 Price:325.81
Date:1415059200 Price:328.72
Date:1415145600 Price:341.99
Date:1415232000 Price:347.96
Date:1415318400 Price:342.26
Date:1415404800 Price:345.84
Date:1415491200 Price:356.34
Date:1415577600 Price:375.87
Date:1415664000 Price:365.04
Date:1415750400 Price:430.07
Date:1415836800 Price:406.56
Date:1415923200 Price:396.56
Date:1416009600 Price:373.14
Date:1416096000 Price:383.65
Date:1416182400 Price:378.48
Date:1416268800 Price:379.91
Date:1416355200 Price:374.77
Date:1416441600 Price:361.70
Date:1416528000 Price:356.90
Date:1416614400 Price:359.80
Date:1416700800 Price:362.99
Date:1416787200 Price:384.00
Date:1416873600 Price:381.03
Date:1416960000 Price:371.44
Date:1417046400 Price:372.62
Date:1417132800 Price:376.12
Date:1417219200 Price:377.22
Date:1417305600 Price:375.96
Date:1417392000 Price:381.72
Date:1417478400 Price:381.93
Date:1417564800 Price:378.25
Date:1417651200 Price:371.67
Date:1417737600 Price:373.98
Date:1417824000 Price:374.05
Date:1417910400 Price:375.73
Date:1417996800 Price:367.01
Date:1418083200 Price:350.29
Date:1418169600 Price:350.97
Date:1418256000 Price:356.10
Date:1418342400 Price:355.08
Date:1418428800 Price:350.31
Date:1418515200 Price:353.28
Date:1418601600 Price:352.15
Date:1418688000 Price:336.73
Date:1418774400 Price:318.20
Date:1418860800 Price:317.70
Date:1418947200 Price:317.63
Date:1419033600 Price:325.70
Date:1419120000 Price:326.93
Date:1419206400 Price:332.53
Date:1419292800 Price:336.96
Date:1419379200 Price:327.59
Date:1419465600 Price:319.31
Date:1419552000 Price:328.09
Date:1419638400 Price:314.45
Date:1419724800 Price:317.50
Date:1419811200 Price:314.49
Date:1419897600 Price:313.09
Date:1419984000 Price:317.40
Date:1420070400 Price:315.70
Date:1420156800 Price:316.15
Date:1420243200 Price:302.33
Date:1420329600 Price:270.93
Date:1420416000 Price:276.80
Date:1420502400 Price:276.80
Date:1420588800 Price:276.80
Date:1420675200 Price:276.80
Date:1420761600 Price:276.80
Date:1420848000 Price:278.00
Date:1420934400 Price:272.25
Date:1421020800 Price:270.00
Date:1421107200 Price:230.89
Date:1421193600 Price:176.50
Date:1421280000 Price:218.11
Date:1421366400 Price:205.35
Date:1421452800 Price:197.12
Date:1421539200 Price:211.18
Date:1421625600 Price:212.39
Date:1421712000 Price:212.99
Date:1421798400 Price:215.20
Date:1421884800 Price:233.90
Date:1421971200 Price:233.03
Date:1422057600 Price:244.64
Date:1422144000 Price:247.11
Date:1422230400 Price:271.47
Date:1422316800 Price:266.03
Date:1422403200 Price:249.25
Date:1422489600 Price:233.19
Date:1422576000 Price:230.11
Date:1422662400 Price:229.70
Date:1422748800 Price:220.72
Date:1422835200 Price:223.00
Date:1422921600 Price:236.51
Date:1423008000 Price:222.56
Date:1423094400 Price:217.37
Date:1423180800 Price:220.47
Date:1423267200 Price:225.16
Date:1423353600 Price:223.50
Date:1423440000 Price:220.39
Date:1423526400 Price:220.16
Date:1423612800 Price:221.99
Date:1423699200 Price:221.83
Date:1423785600 Price:239.94
Date:1423872000 Price:245.31
Date:1423958400 Price:243.99
Date:1424044800 Price:235.86
Date:1424131200 Price:244.00
Date:1424217600 Price:234.87
Date:1424304000 Price:241.59
Date:1424390400 Price:243.56
Date:1424476800 Price:245.66
Date:1424563200 Price:236.00
Date:1424649600 Price:237.09
Date:1424736000 Price:240.10
Date:1424822400 Price:238.59
Date:1424908800 Price:237.50
Date:1424995200 Price:254.00
Date:1425081600 Price:252.98
Date:1425168000 Price:247.56
Date:1425254400 Price:263.81
Date:1425340800 Price:275.80
Date:1425427200 Price:281.65
Date:1425513600 Price:265.63
Date:1425600000 Price:272.12
Date:1425686400 Price:275.83
Date:1425772800 Price:273.87
Date:1425859200 Price:287.48
Date:1425945600 Price:294.06
Date:1426032000 Price:293.29
Date:1426118400 Price:297.39
Date:1426204800 Price:289.51
Date:1426291200 Price:284.21
Date:1426377600 Price:283.57
Date:1426464000 Price:290.88
Date:1426550400 Price:287.02
Date:1426636800 Price:265.85
Date:1426723200 Price:260.62
Date:1426809600 Price:259.80
Date:1426896000 Price:257.83
Date:1426982400 Price:260.50
Date:1427068800 Price:266.07
Date:1427155200 Price:247.83
Date:1427241600 Price:245.68
Date:1427328000 Price:251.98
Date:1427414400 Price:248.63
Date:1427500800 Price:251.52
Date:1427587200 Price:244.05
Date:1427673600 Price:245.18
Date:1427760000 Price:242.92
Date:1427846400 Price:242.70
Date:1427932800 Price:252.44
Date:1428019200 Price:254.39
Date:1428105600 Price:253.77
Date:1428192000 Price:257.03
Date:1428278400 Price:254.70
Date:1428364800 Price:255.48
