"idx","data","godzina","flow"
"180","01/09/2014","11",279
"181","01/09/2014","12",250.5
"182","01/09/2014","13",251.25
"183","01/09/2014","14",220.5
"184","01/09/2014","15",231.5
"185","01/09/2014","16",265.75
"186","01/09/2014","17",272.25
"187","01/09/2014","18",187.25
"188","01/09/2014","19",184.25
"189","01/09/2014","20",105.75
"190","01/09/2014","21",163.75
"191","01/09/2014","22",193.25
"192","01/09/2014","23",114.25
"193","01/10/2014","00",13
"194","01/10/2014","01",12.875
"195","01/10/2014","02",12.375
"196","01/10/2014","03",13
"197","01/10/2014","04",25.75
"198","01/10/2014","05",66.875
"199","01/10/2014","06",153.75
"200","01/10/2014","07",381.25
"201","01/10/2014","08",417.75
"202","01/10/2014","09",269
"203","01/10/2014","10",226.75
"204","01/10/2014","11",197.75
"205","01/10/2014","12",200.375
"206","01/10/2014","13",196.75
"207","01/10/2014","14",192.25
"208","01/10/2014","15",214.875
"209","01/10/2014","16",237
"210","01/10/2014","17",262.875
"211","01/10/2014","18",178.75
"212","01/10/2014","19",112
"213","01/10/2014","20",72.5
"214","01/10/2014","21",51.5
"215","01/10/2014","22",39.25
"216","01/10/2014","23",25.5
"217","01/11/2014","00",24.625
"218","01/11/2014","01",18.25
"219","01/11/2014","02",17.875
"220","01/11/2014","03",16
"221","01/11/2014","04",16.25
"222","01/11/2014","05",35.875
"223","01/11/2014","06",61.625
"224","01/11/2014","07",122.75
"225","01/11/2014","08",186.25
"226","01/11/2014","09",248.875
"227","01/11/2014","10",260
"228","01/11/2014","11",261.875
"229","01/11/2014","12",241.5
"230","01/11/2014","13",233.25
"231","01/11/2014","14",199.75
"232","01/11/2014","15",186
"233","01/11/2014","16",187.125
"234","01/11/2014","17",176.875
"235","01/11/2014","18",139.875
"236","01/11/2014","19",91
"237","01/11/2014","20",68.375
"238","01/11/2014","21",60.375
"239","01/11/2014","22",48.625
"240","01/11/2014","23",47.125
"241","01/12/2014","00",13.2825
"242","01/12/2014","01",8
"243","01/12/2014","02",11.625
"244","01/12/2014","03",18
"245","01/12/2014","04",38.375
"246","01/12/2014","05",82.5
"247","01/12/2014","06",154.875
"248","01/12/2014","07",375.75
"249","01/12/2014","08",417
"250","01/12/2014","09",294.625
"251","01/12/2014","10",232.5
"252","01/12/2014","11",212
"253","01/12/2014","12",202.5
"254","01/12/2014","13",193.375
"255","01/12/2014","14",192.375
"256","01/12/2014","15",211.75
"257","01/12/2014","16",235.5
"258","01/12/2014","17",240.5
"259","01/12/2014","18",164.5
"260","01/12/2014","19",100
"261","01/12/2014","20",59
"262","01/12/2014","21",44
"263","01/12/2014","22",35.5
"264","01/12/2014","23",19.375
"265","02/01/2014","03",15.5325
"266","02/01/2014","04",35.5
"267","02/01/2014","05",78.875
"268","02/01/2014","06",145.75
"269","02/01/2014","07",307.625
"270","02/01/2014","08",337.75
"271","02/01/2014","09",258.75
"272","02/01/2014","10",236.875
"273","02/01/2014","11",227.5
"274","02/01/2014","12",215
"275","02/01/2014","13",213.25
"276","02/01/2014","14",205.75
"277","02/01/2014","15",202
"278","02/01/2014","16",219.625
"279","02/01/2014","17",234
"280","02/01/2014","18",168.25
"281","02/01/2014","19",114.5
"282","02/01/2014","20",72
"283","02/01/2014","21",62
"284","02/01/2014","22",42
"285","02/01/2014","23",27.5
"286","02/02/2014","00",29.25
"287","02/02/2014","01",17
"288","02/02/2014","02",13.5
"289","02/02/2014","03",10
"290","02/02/2014","04",13.25
"291","02/02/2014","05",22.5
"292","02/02/2014","06",39.75
"293","02/02/2014","07",51.75
"294","02/02/2014","08",81
"295","02/02/2014","09",128.25
"296","02/02/2014","10",191.75
"297","02/02/2014","11",200
"298","02/02/2014","12",192.25
"299","02/02/2014","13",211.5
"300","02/02/2014","14",170.25
"301","02/02/2014","15",167.25
"302","02/02/2014","16",183
"303","02/02/2014","17",140
"304","02/02/2014","18",103
"305","02/02/2014","19",96.5
"306","02/02/2014","20",52.5
"307","02/02/2014","21",56
"308","02/02/2014","22",25.25
"309","02/02/2014","23",21
"310","02/03/2014","00",35.75
"311","02/03/2014","01",16.5
"312","02/03/2014","02",17
"313","02/03/2014","03",11.25
"314","02/03/2014","04",9.8125
"315","02/03/2014","05",26.5
"316","02/03/2014","06",39
"317","02/03/2014","07",66.25
"318","02/03/2014","08",93.5
"319","02/03/2014","09",153.75
"320","02/03/2014","10",223.25
"321","02/03/2014","11",206.5
"322","02/03/2014","12",221.75
"323","02/03/2014","13",222
"324","02/03/2014","14",179.75
"325","02/03/2014","15",190.75
"326","02/03/2014","16",170.25
"327","02/03/2014","17",155.5
"328","02/03/2014","18",108.75
"329","02/03/2014","19",95
"330","02/03/2014","20",55.75
"331","02/03/2014","21",56.25
"332","02/03/2014","22",23.75
